warning: Git tree '/home/zearc/projects/closedloopfly' is dirty
haltere afferents 104 L / 101 R; DNg02 tonic 0.4 mV/ms; 1.5 s, last half averaged; currents 0.3, 0.4, 0.6, 0.8, 1.5, 2, 3 mV/ms

| drive | DNa02 L/R | DNa02 L−R | turn DN L/R | DNg02 L/R | wing MN L/R | haltere MN L/R | PS059 L/R |
| --- | --- | --- | --- | --- | --- | --- | --- |
| none | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| left afferents 0.3 mV/ms | 7.1/8.7 | -1.7 | 5.8/7.8 | 20.4/20.0 | 51.6/49.7 | 9.5/7.7 | 54.6/54.4 |
| right afferents 0.3 mV/ms | 4.8/7.5 | -2.7 | 2.9/7.4 | 19.1/18.3 | 49.7/47.7 | 5.7/6.0 | 32.4/38.0 |
| left afferents 0.4 mV/ms | 8.0/16.0 | -8.0 | 4.0/7.5 | 20.0/19.8 | 52.0/48.3 | 12.1/9.8 | 43.7/43.1 |
| right afferents 0.4 mV/ms | 15.8/11.0 | 4.8 | 13.7/3.7 | 19.7/20.1 | 51.4/50.2 | 13.2/10.5 | 66.6/55.9 |
| left afferents 0.6 mV/ms | 24.6/2.6 | 22.0 | 15.8/0.9 | 19.8/19.9 | 52.5/46.8 | 20.1/9.9 | 66.9/59.2 |
| right afferents 0.6 mV/ms | 13.0/15.5 | -2.5 | 10.3/6.1 | 19.5/16.5 | 52.0/54.5 | 16.4/22.7 | 74.6/74.7 |
| left afferents 0.8 mV/ms | 0.0/0.0 | 0.0 | 0.0/0.4 | 13.1/5.9 | 48.1/44.5 | 30.4/19.3 | 99.9/97.3 |
| right afferents 0.8 mV/ms | 0.0/0.0 | 0.0 | 0.4/1.8 | 13.2/5.2 | 50.4/50.2 | 19.7/34.9 | 100.3/100.8 |
| left afferents 1.5 mV/ms | 15.5/0.0 | 15.5 | 6.5/0.4 | 8.0/6.5 | 40.5/34.2 | 33.5/13.1 | 93.3/86.5 |
| right afferents 1.5 mV/ms | 0.0/0.0 | 0.0 | 0.0/0.0 | 13.7/4.4 | 47.1/50.7 | 27.9/52.9 | 119.8/118.0 |
| left afferents 2 mV/ms | 0.0/0.0 | 0.0 | 0.4/0.4 | 10.7/4.9 | 36.6/31.7 | 50.8/31.4 | 127.6/113.6 |
| right afferents 2 mV/ms | 0.0/0.0 | 0.0 | 0.0/0.4 | 12.7/3.3 | 46.9/52.3 | 34.7/59.5 | 126.8/128.2 |
| left afferents 3 mV/ms | 5.4/0.0 | 5.4 | 1.8/0.0 | 5.6/3.4 | 25.8/20.0 | 51.0/25.0 | 119.9/105.7 |
| right afferents 3 mV/ms | 0.0/0.0 | 0.0 | 0.0/0.0 | 12.2/1.6 | 41.0/49.3 | 38.4/67.5 | 134.3/135.0 |

wrote bench/out/haltere-inject-fine.json
