haltere afferents 104 L / 101 R; DNg02 tonic 0.4 mV/ms; 1.5 s, last half averaged; currents 0.1, 0.25, 0.5, 1 mV/ms

| drive | DNa02 L/R | DNa02 L−R | turn DN L/R | DNg02 L/R | wing MN L/R | haltere MN L/R | PS059 L/R |
| --- | --- | --- | --- | --- | --- | --- | --- |
| none | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| left afferents 0.1 mV/ms | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| right afferents 0.1 mV/ms | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| left afferents 0.25 mV/ms | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| right afferents 0.25 mV/ms | 13.2/12.3 | 0.8 | 7.1/9.4 | 21.0/21.3 | 52.9/51.1 | 9.0/10.3 | 46.7/54.7 |
| left afferents 0.5 mV/ms | 18.4/6.7 | 11.7 | 11.2/2.7 | 17.5/18.3 | 51.8/46.8 | 15.7/7.3 | 52.7/52.6 |
| right afferents 0.5 mV/ms | 16.7/5.3 | 11.3 | 15.6/1.8 | 22.0/22.6 | 53.5/53.9 | 15.9/18.8 | 82.1/77.1 |
| left afferents 1 mV/ms | 0.0/0.0 | 0.0 | 0.4/0.0 | 12.4/6.9 | 49.5/45.3 | 37.5/22.7 | 106.6/106.2 |
| right afferents 1 mV/ms | 0.0/0.0 | 0.0 | 0.0/1.8 | 13.8/5.1 | 50.2/51.0 | 20.8/44.1 | 110.3/110.1 |

wrote bench/out/haltere-inject.json
